class,object_name
0,00838046-6e54-4d23-9a1f-fdac7fa399a7
0,00b09deb-f821-4a04-812f-45c722bcc027
0,00cc9713-3db9-44a5-aa99-69f6fafd27de
0,016e1ac9-6708-401b-a0fa-8f4f664fcaef
0,027d26ef-28b3-4a19-9cbe-0117c3e05a82
0,0319245e-b5c1-4b33-9dc2-22e7308d2c31
0,036c45f3-674d-44fd-b9e0-8788961fda92
0,0475b405-fcaa-4d81-9b88-0db046a7c467
0,050e7688-5fb6-4d56-a74c-9324cf8a9f4f
0,083ae960-ed93-4ca8-8648-de83b9350a26
0,0868ab44-2357-4ddc-b99f-34483625b59d
0,0870a959-b242-4985-8049-20d6cc34e38c
0,0960fe2f-fe4d-4f10-9e78-6f27ee749f2d
0,09794801-6fe4-49f2-9842-08e30ce51420
0,09fbf6d9-6c7b-4d98-9272-bd3861824b07
0,0a5d660c-3535-421d-aa8e-8d5ac0f1ef00
0,0a94d741-dc05-4282-b459-797850a3e99d
0,0af50369-5fe7-44a5-818e-80a5cab0bcff
0,0afa061d-164b-4757-857b-ce13bf737fdf
0,0c4e7642-d7f1-40fb-b4a6-6db04ab81587
0,0d97fa01-0991-40ba-b6d0-c5950818b130
0,0ffa63ee-9630-4216-ac94-154cad50cbb5
0,104fc418-73ac-4720-a836-f0fb0da45d76
0,1084e97c-91d6-4716-944b-a27f3216c3d3
0,10e45338-cad1-4ce5-81e9-97048c1264c8
0,10eb10fa-2b94-44f8-b824-26d0c170162b
0,10f43ee7-4f22-44be-818c-cd409ae56646
0,116d7263-5c6b-49ad-8e0d-8662e2d93cdc
0,11a132f6-be51-4aef-8ec7-247e964882cd
0,123eee9f-0f80-4030-b088-38423a3597e3
0,12403890-ec67-4ce4-a1d6-8ab11227baa0
0,12a6c1da-93de-4eba-8dc3-3fce2847645f
0,1308a53c-62ed-4524-aafd-075c5f93eb71
0,1384672d-5299-47a3-a641-1253fecdc5d7
0,152248bb-cc25-4bbc-8900-5ff7d4263e30
0,153cbc35-d259-4b77-b406-158d34427830
0,154b7030-6c51-4909-9c15-c5b83c5c8452
0,16c0e13c-f055-41a4-aaac-2dbc2bb0a98a
0,16d0dd9a-df3c-4733-87e7-7b6e84e1f1aa
0,17d5e045-996d-4438-a60a-18f3de8548da
0,19aa3b08-3b84-45eb-828f-e68abc488c0d
0,1a50af84-3343-4168-9229-be9af88c0033
0,1aab5c00-89ed-4738-85ec-15dca5801d2f
0,1ac3a356-9c2c-4182-8e8f-af76788e15dd
0,1b11e680-8176-421a-8359-f5bc758a62fd
0,1b29c4dc-303f-4411-900a-fc4bca1bf0e3
0,1ba19c0d-b6e4-45cc-a194-576b30079f1a
0,1bff99bc-f3be-4f8e-b20a-e1e52f76fab4
0,1c3b307b-2e9a-4af9-bd6a-5a3107442e12
0,1ceb56d8-b61c-4e49-bbda-de520d7bfc50
0,1d2bdb9d-468e-4d65-b527-116b66e8e13a
0,1e575e8b-3e86-41a3-99da-06f71cc9349c
0,1eb8b0cd-1c0e-48f3-bc9e-5af1f7561a52
0,20a58a2b-8dd6-4013-ad2e-8db24370021c
0,20df4736-32b0-45de-a585-1bd6bebfff58
0,21124556-50de-4ab9-b4e8-263eb262edee
0,212d1afd-0834-45f3-9f9c-2186e3e57ef4
